Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ğ	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÏêÏ¸Àà±ğ
Ch×a khãa thø hai cña ThiÕt Th¸p	4	161	\spr\item\questkey\taskobj092-6.spr	41	1	1	Ch×a khãa më c¬ quan thø hai cña ThiÕt Th¸p. 	0
Ch×a khãa thø ba cña ThiÕt Th¸p	4	162	\spr\item\questkey\taskobj092-6.spr	41	1	1	Ch×a khãa më c¬ quan thø ba cña ThiÕt Th¸p. 	0
Th­ tİn cña ch­ëng m«n Vâ §ang	4	163	\spr\item\questkey\taskobj091.spr	41	1	1	Mét bøc th­. 	0
Håi th­ cña NhuËn N­¬ng	4	164	\spr\item\questkey\taskobj091.spr	41	1	1	Mét bøc th­. 	0
chiÕc nhÉn M· N·o 	4	165	\spr\item\equip\ring\obj-ring09.spr	41	1	1	Mét chiÕc nhÉn M· N·o. 	0
Linh X¹ H­¬ng Nang	4	166	\spr\item\equip\waist\obj-waist08.spr	41	1	2	Mét tói Linh X¹ H­¬ng. 	0
Nh¹n T×nh hé th©n phï	4	167	\spr\item\equip\nick\obj-neck14.spr	41	2	1	Mét c¸i Nh¹n T×nh hé th©n phï. 	0
Bİch Tû Giíi ChØ	4	168	\spr\item\equip\ring\obj-ring04.spr	41	1	1	Mét c¸i Bİch Tû Giíi ChØ. 	0
C«ng v¨n tõ D­¬ng Ch©u ®­a ®Õn Phông T­êng	4	169	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n tõ phñ D­¬ng Ch©u ®­a ®Õn dŞch tr¹m ë phñ Phông T­êng. 	0
C«ng v¨n tõ BiÖn Kinh ®­a ®Õn §¹i Lı	4	170	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n tõ phñ BiÖn Kinh ®­a ®Õn dŞch tr¹m ë phñ §¹i Lı. 	0
C«ng v¨n tõ Thµnh §« ®­a ®Õn L©m An	4	171	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n tõ phñ Thµnh §« ®­a ®Õn dŞch tr¹m ë phñ L©m An. 	0
C«ng v¨n tõ L©m An ®­a ®Õn BiÖn Kinh	4	172	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n tõ phñ L©m An ®­a ®Õn dŞch tr¹m ë phñ BiÖn Kinh. 	0
C«ng v¨n tõ L©m An ®­a ®Õn T­¬ng D­¬ng	4	173	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n tõ phñ L©m An ®­a ®Õn dŞch tr¹m ë phñ T­¬ng D­¬ng. 	0
C«ng v¨n tõ BiÖn Kinh ®­a ®Õn D­¬ng Ch©u	4	174	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n tõ phñ BiÖn Kinh ®­a ®Õn dŞch tr¹m ë phñ D­¬ng Ch©u. 	0
C«ng v¨n tõ D­¬ng Ch©u ®­a ®Õn Thµnh §«	4	175	\spr\item\questkey\taskobj075.spr	41	1	1	C«ng v¨n tõ phñ D­¬ng Ch©u ®­a ®Õn dŞch tr¹m ë phñ Thµnh §«. 	0
Giµn n¸	4	176	\spr\item\questkey\taskobj139.spr	41	1	1	Mét c¸i giµn n¸ võa lµm xong, lµ mét trong nh÷ng mãn mµ ®øa bĞ thİch nhÊt. 	0
Nh¸nh c©y	4	177	\spr\item\questkey\taskobj142.spr	41	1	1	Nh¸nh c©y cã h×nh ch÷ Y. 	0
Ng­u B×	4	178	\spr\item\questkey\taskobj143.spr	41	1	1	Lo¹i da Tr©u thuéc theo c¸ch th«ng th­êng. 	0
Xuyªn Bèi hoµn	4	179	\spr\item\questkey\taskobj144.spr	41	1	1	Lo¹i thuèc th­êng dïng ®Ó trŞ ho. 	0
Tú Bµ hoµn	4	180	\spr\item\questkey\taskobj144.spr	41	1	1	Lo¹i thuèc th­êng dïng ®Ó trŞ phong hµn. 	0
NhÜ Hoµn	4	181	\spr\item\questkey\taskobj145.spr	41	1	1	Mét ®«i khuyªn tai nhá b»ng vµng. 	0
Tö Yªn Ngäc Béi	4	182	\spr\item\questkey\taskobj140.spr	41	1	1	Mét miÕng Thóy Ngäc Ngäc Béi rÊt cò, trªn Ngäc Th¹ch ®­îc ®iªu kh¶m rÊt ®Ñp. 	0
Tranh ch÷	4	183	\spr\item\questkey\taskobj141.spr	41	1	1	Mét bøc tranh ch÷ cæ x­a, nh×n thÊy råi th× kh«ng thÓ bá qua. 	0
Kim Yªu §¸i	4	184	\spr\item\equip\sash\obj-sash09.spr	41	2	1	VËt phÈm trong nhiÖm vô	0
Hæ Cèt	4	185	\spr\item\questkey\taskobj146.spr	41	1	1	X­¬ng ®Çu cña Hæ, mét lo¹i d­îc liÖu kh«ng thÓ thiÕu trong §«ng Y. 	0
X¹ H­¬ng Hæ Cèt Cao	4	186	\spr\item\questkey\taskobj147.spr	41	1	1	Mét thø §«ng d­îc chuyªn trŞ c¸c chøng viªm khíp. 	0
Ngò H­¬ng §Ëu Hò Can	4	187	\spr\item\questkey\taskobj148.spr	41	1	1	Mãn ¨n næi tiÕng ë c¸c l÷ qu¸n trong Chu Tiªn trÊn, xa gÇn ®Òu biÕt. 	0
Kª ThÇn Lôc	4	188	\spr\item\questkey\taskobj075.spr	41	1	1	Mét d¹ng tiÓu thuuyÕt thÇn qu¸i thêi s¬ Tèng, hµm 150 Mét c©u chuyÖn thÇn qu¸i.	0
Di Kiªn Chİ	4	189	\spr\item\questkey\taskobj075.spr	41	1	1	Mét d¹ng tiÓu thuyÕt thÇn qu¸i thêi Tèng, rÊt ®­îc ­a chuéng. 	0
Qu¹t l¸ sen	4	190	\spr\item\questkey\taskobj067.spr	41	1	1	Lo¹i qu¹t ghĞp tõ l¸ sen, C¸c v¨n nh©n Nho sÜ thİch dïng. 	0
Vßng tay	4	191	\spr\item\equip\bangle\obj-bangle06.spr	41	1	2	Lo¹i vßng n÷ giíi th­êng ®eo, rÊt cò kü nh­ng cã gi¸ trŞ. 	0
Kh¨n Uyªn ¦¬ng	4	192	\spr\item\questkey\taskobj068.spr	41	1	1	Lo¹i kh¨n quÊn cã thªu h×nh ong b­ím, kü thuËt tinh x¶o. 	0
BUG	4	193	\spr\item\questkey\taskobj005.spr	41	1	1	Chóc mõng, b¹n gÆp ®­îc bug råi!	0
Hoa t­¬i	4	194	\spr\item\questkey\flower.spr	330	1	1	Mét ®ãa hoa t­¬i ®Ñpcã thÓ biÓu ®¹t ®­îc t×nh c¶m cña m×nh. 	1
Nh¹c V­¬ng KiÕm	4	195	\spr\item\questkey\ÔÀÍõ½£.spr	41	2	3	Béi kiÕm cña Nh¹c Phi, tİn vËt ®Ó kiÕn lËp bang héi. 	1
ThiÕt Th­îc Thi	4	196	\spr\item\questkey\taskobj092-6.spr	41	1	1	Mét chiÕc ch×a khãa S¾t t×m thÊy trong hang ®éng cña §iÓm Th­¬ng s¬n	0
§ång Th­îc Thi	4	197	\spr\item\questkey\taskobj092-6.spr	41	1	1	Mét chiÕc ch×a khãa §ång t×m thÊy trong hang ®éng cña §iÓm Th­¬ng s¬n	0
Ng©n Th­îc Thi	4	198	\spr\item\questkey\taskobj092-6.spr	41	1	1	Mét chiÕc ch×a khãa B¹c t×m thÊy trong hang ®éng cña §iÓm Th­¬ng s¬n	0
Bøc ®Şa ®å Trung Nguyªn	4	199	\spr\item\questkey\taskobj076.spr	41	2	1	VËt phÈm trong nhiÖm vô	0
Tói v¶i thø t¸m	4	200	\spr\item\questkey\taskobj077.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Tói v¶i thø hai	4	201	\spr\item\questkey\taskobj077.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Ch×a khãa C¸i bang Bİnh	4	202	\spr\item\questkey\taskobj092-6.spr	41	1	1	Ch×a khãa t×m thÊy ®­îc trong mËt ®éng cña C¸i bang, trªn ®ã cã viÕt mét ch÷“ Bİnh ” 	0
Ch×a khãa C¸i bang Gi¸p	4	203	\spr\item\questkey\taskobj092-6.spr	41	1	1	Ch×a khãa t×m thÊy ®­îc trong mËt ®éng cña C¸i bang, trªn ®ã cã viÕt mét ch÷“Gi¸p”	0
Ch×a khãa C¸i bang Êt	4	204	\spr\item\questkey\taskobj092-6.spr	41	1	1	Ch×a khãa t×m thÊy ®­îc trong mËt ®éng cña C¸i bang, trªn ®ã cã viÕt mét ch÷“Êt”	0
Tói v¶i thø chİn	4	205	\spr\item\questkey\taskobj077.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Tói v¶i thø s¸u	4	206	\spr\item\questkey\taskobj077.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Tói v¶i thø b¶y	4	207	\spr\item\questkey\taskobj077.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Tói v¶i thø ba	4	208	\spr\item\questkey\taskobj077.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Tói v¶i thø t­	4	209	\spr\item\questkey\taskobj077.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Tói v¶i thø n¨m	4	210	\spr\item\questkey\taskobj077.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Tói v¶i thø nhÊt	4	211	\spr\item\questkey\taskobj077.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Ch×a khãa KiÕn Tİnh Phong S¬n ®éng	4	212	\spr\item\questkey\taskobj092.spr	41	1	1	Mét chiÕc ch×a khãa t×m thÊy trong hang ®éng cña KiÕn Tİnh Phong S¬n	0
Ch×a khãa b¨ng lao	4	213	\spr\item\questkey\taskobj092.spr	41	1	1	Ch×a khãa ®Ó më b¨ng lao	0
B¸t nhµ s­	4	214	\spr\item\questkey\taskobj032.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
ThiÒn tr­îng	4	215	\spr\item\questkey\taskobj030.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Méc Ng­	4	216	\spr\item\questkey\taskobj031.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
NiÖm Ch©u	4	217	\spr\item\questkey\taskobj029.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Kiªn Tinh Th¹ch	4	218	\spr\item\questkey\taskobj025.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Th­ tİn chøng minh	4	219	\spr\item\questkey\taskobj091.spr	41	1	1	Bøc th­ tİn mµ nh÷ng ¨n mµy ë BiÖn Kinh ®· giao cho c¸c ch­ t¨ng ë ThiÕu L©m Tù	0
M­êi bao Tİn Th¹ch	4	220	\spr\item\questkey\taskobj128.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Méc H­¬ng §Ønh thËt	4	221	\spr\item\questkey\taskobj081.spr	41	1	1	Méc H­¬ng §Ønh thËt sÏ ph¸t ra ¸nh s¸ng huyÒn ¶o	0
Tİch §éc Ch©u	4	222	\spr\item\questkey\taskobj083.spr	41	1	2	VËt phÈm trong nhiÖm vô	0
Sîi l«ng chim Khæng T­íc thø hai	4	223	\spr\item\questkey\taskobj079.spr	41	1	2	VËt phÈm trong nhiÖm vô	0
Sîi l«ng chim Khæng T­íc thø ba	4	224	\spr\item\questkey\taskobj080.spr	41	1	2	VËt phÈm trong nhiÖm vô	0
Sîi l«ng chim Khæng T­íc thø t­	4	225	\spr\item\questkey\taskobj081.spr	41	1	2	VËt phÈm trong nhiÖm vô	0
Sîi l«ng chim Khæng T­íc thø n¨m	4	226	\spr\item\questkey\taskobj082.spr	41	1	2	VËt phÈm trong nhiÖm vô	0
Sîi l«ng chim Khæng T­íc thø nhÊt	4	227	\spr\item\questkey\taskobj078.spr	41	1	2	VËt phÈm trong nhiÖm vô	0
ThŞt heo rõng 	4	228	\spr\item\questkey\taskobj150.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Ph¸ §ao	4	229	\spr\item\questkey\taskobj152.spr	41	1	2	Mét thanh ®ao bŞ g·y mÎ rÊt nham nhë	0
B¶o ®ao	4	230	\spr\item\questkey\taskobj151.spr	41	1	2	Mét thanh ®ao ph¸t ra ¸nh s¸ng l¹nh, trªn ®ao cã kh¾c mét ch÷ “Bµnh” 	0
D­¬ng Xu©n Linh Chi	4	231	\spr\item\questkey\taskobj153.spr	41	1	1	Mét lo¹i d­îc th¶o chØ mäc ë nh÷ng vïng hoang d·	0
B¹ch TuyÕt B¸ch Hîp	4	232	\spr\item\questkey\taskobj103.spr	41	1	1	Mét lo¹i B¸ch hîp hoa ®Æc thï, rÊt hiÕm thÊy	0
Ph¹n Lam	4	233	\spr\item\questkey\taskobj154.spr	41	1	1	Mét lo¹i chĞn th«ng th­êng	0
A Kinh Giíi chØ	4	234	\spr\item\equip\ring\obj-ring09.spr	41	1	1	Mét lo¹i nhÉn ®eo b»ng M· N·o, ®iªu rÊt rÊt tinh tÕ	0
Mét bøc th­ kh«ng viÕt tªn ng­êi nhËn	4	235	\spr\item\questkey\taskobj091.spr	41	1	1	Bøc th­ cña mét ng­êi v« danh göi cho ch­ëng m«n hiÖn thêi	0
Thİch S¸t MËt hµm	4	236	\spr\item\questkey\taskobj091.spr	41	1	1	Bøc mËt hµm cña Kim quèc, muèn thİch s¸t Tr­¬ng TuÊn	0
Thóy Yªn CÊm ®Şa	4	237	\spr\item\questkey\taskobj007.spr	41	1	1	VËt phÈm trong nhiÖm vô	0
Lan Thñy Tinh	4	238	\spr\item\questkey\baoshi_zhuanxu.spr	333	1	1	Lo¹i thñy tinh cã thÓ gióp thay ®æi thuéc tİnh Ngò hµnh. 	1
Tö Thñy Tinh	4	239	\spr\item\questkey\baoshi_xingtian.spr	333	1	1	Lo¹i thñy tinh cã thÓ gióp thay ®æi, n©ng cao ®¼ng cÊp. 	1
Lôc Thñy Tinh	4	240	\spr\item\questkey\baoshi_nvwa.spr	333	1	1	Lo¹i thñy tinh cã thÓ gióp thay ®æi, n©ng cao Ma lùc ch­ëng ph¸p. 	1
Hoa S¬n Anh Hïng LÖnh	4	241	\spr\item\questkey\taskobj126.spr	41	1	1	Tİn vËt ®Ó tham gia Anh Hïng Héi ë Hoa s¬n. 	0
Bøc hµm th­ v« dông	4	242	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
DŞch tr¹m truyÒn th­	4	243	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ L©m An ®­a ®Õn Phông T­êng	0
DŞch tr¹m truyÒn th­	4	244	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ L©m An ®­a ®Õn Thµnh §«	0
DŞch tr¹m truyÒn th­	4	245	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ L©m An ®­a ®Õn §¹i Lı	0
DŞch tr¹m truyÒn th­	4	246	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ L©m An ®­a ®Õn BiÖn Kinh	0
DŞch tr¹m truyÒn th­	4	247	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ L©m An ®­a ®Õn T­¬ng D­¬ng 	0
DŞch tr¹m truyÒn th­	4	248	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ L©m An ®­a ®Õn D­¬ng Ch©u	0
Bøc hµm th­ v« dông	4	249	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	250	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	251	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
DŞch tr¹m truyÒn th­	4	252	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ Phông T­êng ®­a ®Õn L©m An	0
Bøc hµm th­ v« dông	4	253	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
DŞch tr¹m truyÒn th­	4	254	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ Phông T­êng ®­a ®Õn Thµnh §«	0
DŞch tr¹m truyÒn th­	4	255	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ Phông T­êng ®­a ®Õn §¹i Lı	0
DŞch tr¹m truyÒn th­	4	256	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ Phông T­êng ®­a ®Õn BiÖn Kinh	0
DŞch tr¹m truyÒn th­	4	257	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ Phông T­êng ®­a ®Õn T­¬ng D­¬ng	0
DŞch tr¹m truyÒn th­	4	258	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ Phông T­êng ®­a ®Õn D­¬ng Ch©u	0
Bøc hµm th­ v« dông	4	259	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	260	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	261	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
DŞch tr¹m truyÒn th­	4	262	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ Thµnh §« ®­a ®Õn L©m An	0
DŞch tr¹m truyÒn th­	4	263	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ Thµnh §« ®­a ®Õn Phông T­êng	0
Bøc hµm th­ v« dông	4	264	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
DŞch tr¹m truyÒn th­	4	265	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ Thµnh §« ®­a ®Õn §¹i Lı	0
DŞch tr¹m truyÒn th­	4	266	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ Thµnh §« ®­a ®Õn BiÖn Kinh	0
DŞch tr¹m truyÒn th­	4	267	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ Thµnh §« ®­a ®Õn T­¬ng D­¬ng	0
DŞch tr¹m truyÒn th­	4	268	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ Thµnh §« ®­a ®Õn D­¬ng Ch©u	0
Bøc hµm th­ v« dông	4	269	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	270	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	271	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
DŞch tr¹m truyÒn th­	4	272	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ §¹i Lı ®­a ®Õn L©m An	0
DŞch tr¹m truyÒn th­	4	273	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ §¹i Lı ®­a ®Õn Phông T­êng	0
DŞch tr¹m truyÒn th­	4	274	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ §¹i Lı ®­a ®Õn Thµnh §«	0
Bøc hµm th­ v« dông	4	275	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
DŞch tr¹m truyÒn th­	4	276	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ §¹i Lı ®­a ®Õn BiÖn Kinh	0
DŞch tr¹m truyÒn th­	4	277	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ §¹i Lı ®­a ®Õn T­¬ng D­¬ng 	0
DŞch tr¹m truyÒn th­	4	278	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ §¹i Lı ®­a ®Õn D­¬ng Ch©u	0
Bøc hµm th­ v« dông	4	279	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	280	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	281	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
DŞch tr¹m truyÒn th­	4	282	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ BiÖn Kinh ®­a ®Õn L©m An	0
DŞch tr¹m truyÒn th­	4	283	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ BiÖn Kinh ®­a ®Õn Phông T­êng	0
DŞch tr¹m truyÒn th­	4	284	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ BiÖn Kinh ®­a ®Õn Thµnh §«	0
DŞch tr¹m truyÒn th­	4	285	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ BiÖn Kinh ®­a ®Õn §¹i Lı	0
Bøc hµm th­ v« dông	4	286	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
DŞch tr¹m truyÒn th­	4	287	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ BiÖn Kinh ®­a ®Õn T­¬ng D­¬ng	0
DŞch tr¹m truyÒn th­	4	288	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ BiÖn Kinh ®­a ®Õn D­¬ng Ch©u	0
Bøc hµm th­ v« dông	4	289	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	290	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	291	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
DŞch tr¹m truyÒn th­	4	292	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ T­¬ng D­¬ng ®­a ®Õn L©m An	0
DŞch tr¹m truyÒn th­	4	293	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ T­¬ng D­¬ng ®­a ®Õn Phông T­êng	0
DŞch tr¹m truyÒn th­	4	294	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ T­¬ng D­¬ng ®­a ®Õn Thµnh §«	0
DŞch tr¹m truyÒn th­	4	295	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ T­¬ng D­¬ng ®­a ®Õn §¹i Lı	0
DŞch tr¹m truyÒn th­	4	296	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ T­¬ng D­¬ng ®­a ®Õn BiÖn Kinh	0
Bøc hµm th­ v« dông	4	297	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
DŞch tr¹m truyÒn th­	4	298	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ T­¬ng D­¬ng ®­a ®Õn D­¬ng Ch©u	0
Bøc hµm th­ v« dông	4	299	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	300	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	301	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
DŞch tr¹m truyÒn th­	4	302	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ D­¬ng Ch©u ®­a ®Õn L©m An	0
DŞch tr¹m truyÒn th­	4	303	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ D­¬ng Ch©u ®­a ®Õn Phông T­êng	0
DŞch tr¹m truyÒn th­	4	304	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ D­¬ng Ch©u ®­a ®Õn Thµnh §«	0
DŞch tr¹m truyÒn th­	4	305	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ D­¬ng Ch©u ®­a ®Õn §¹i Lı	0
DŞch tr¹m truyÒn th­	4	306	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ D­¬ng Ch©u ®­a ®Õn BiÖn Kinh	0
DŞch tr¹m truyÒn th­	4	307	\spr\item\questkey\taskobj075.spr	41	1	1	Hµm th­ tõ D­¬ng Ch©u ®­a ®Õn T­¬ng D­¬ng	0
Bøc hµm th­ v« dông	4	308	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	309	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	310	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	311	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	312	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	313	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	314	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	315	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	316	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	317	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	318	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	319	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	320	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	321	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	322	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	323	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	324	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	325	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	326	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	327	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	328	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	329	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	330	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	331	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	332	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	333	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	334	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	335	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	336	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
Bøc hµm th­ v« dông	4	337	\spr\item\questkey\taskobj075.spr	41	1	1	Bøc hµm th­ v« dông	0
