SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	IsAura	LRSkill	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	CharClass	MisslesForm	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	ClientSend	SkillCostType	CostValue	TimePerCast	IsPhysical	TargetOnly	TargetEnemy	TargetAlly	TargetSelf	TargetObj	TargetNoNpc	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	DoHurt	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	LvlSetScript	LvlSetting1	LvlData1	LvlSetting2	LvlData2	LvlSetting3	LvlData3	LvlSetting4	LvlData4	LvlSetting5	LvlData5	LvlSetting6	LvlData6	LvlSetting7	LvlData7	LvlSetting8	LvlData8	LvlSetting9	LvlData9	LvlSetting10	LvlData10	LvlSetting11	LvlData11	LvlSetting12	LvlData12	LvlSetting13	LvlData13	LvlSetting14	LvlData14	LvlSetting15	LvlData15	LvlSetting16	LvlData16	LvlSetting17	LvlData17	LvlSetting18	LvlData18	LvlSetting19	LvlData19	LvlSetting20	LvlData20	LevelUpScript	SkillDesc
TuyÕt ¶nh	Chñ ®éng hç trî c«ng kÝch	109	600	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_32.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr		\sound\skill\sound_k017.wav	33	0	2	0	0	0	0	0	2	7	0	0	0	0	11	0	0	5	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0	0	0	0				1	0	0	-1	1	\script\skill\cuiyan.lua	attackspeed_v	xueying	castspeed_v	xueying	skill_cost_v	xueying	fastwalkrun_p	xueying		xueying		xueying		xueying		xueying		xueying		xueying		xueying		xueying		xueying		xueying		xueying		xueying		xueying		xueying		xueying		xueying		Thóy Yªn Cao cÊp Néi c«ng, t¨ng tèc ®é di chuyÓn vµ xuÊt chiªu.
Ngò hµnh ®én		110		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_33.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr			0	0	2	0	180	15	0	0	2	1	6	1	1	1	11	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	20	-2	0	0	0	0	0	0	0				1	0	0	-1	1	\script\skill\cuiyan.lua	colddamage_v		skill_cost_v																																							Thóy Yªn Cao cÊp dÞ thuËt, lîi dông ®Þa h×nh ®Ó Èn thÈn.
BÝch H¶i TriÒu Sinh	C«ng kÝch néi c«ng 	111	602	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_41.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr	0	\sound\skill\sound_k010.wav	0	0	0	0	72	0	0	0	2	7	10	1	1	1	11	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	112	0	0	0	0	0	0	0	60	20	-2	1	0	0	0		0					0	0	0	2	1	\script\skill\cuiyan.lua	physicsdamage_v	bihai_chaosheng	colddamage_v	bihai_chaosheng	addskilldamage1	bihai_chaosheng	skill_cost_v	bihai_chaosheng		bihai_chaosheng	seriesdamage_p	bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		Chiªu thøc cao cÊp (Song ®ao) , B¨ng s¸t cùc kú lîi h¹i.
BÝch H¶i TriÒu Sinhb	C«ng kÝch néi c«ng 	112		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_01.spr	0	0	0	0	0	2	0	0	0	5	1	2	3	11	0	16	1	11	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	0	0	0	0		0					0	0	0	2	1	\script\skill\cuiyan.lua	physicsdamage_v	bihai_chaosheng	colddamage_v	bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng	seriesdamage_p	bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		bihai_chaosheng		0
Phï V©n T¸n TuyÕt	C«ng kÝch néi c«ng 	113	602	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_42.spr	\spr\skill\¶ëáÒ\mag_em_13_Ê©Ä§·¨.spr		\sound\skill\sound_k010.wav	0	0	0	0	400	0	0	0	2	6	12	1	1	1	11	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	1	0	0	0		0					0	0	0	2	1	\script\skill\cuiyan.lua	colddamage_v	fuyun_sanxue	addskilldamage1	fuyun_sanxue	skill_attackradius	fuyun_sanxue	skill_cost_v	fuyun_sanxue	seriesdamage_p	fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		fuyun_sanxue		Thóy Yªn trung cÊp chiªu thøc, B¨ng s¸t cùc kú lîi h¹i.
B¨ng Cèt TuyÕt T©m	Chñ ®éng hç trî c«ng kÝch	114	9999	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_cy_43.spr				0	0	3	0	0	0	0	0	2	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	30	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\cuiyan.lua	addcoldmagic_v	binggu_xuexin	addcolddamage_v	binggu_xuexin	deadlystrikeenhance_p	binggu_xuexin	coldenhance_p	binggu_xuexin	addphysicsmagic_v	binggu_xuexin		binggu_xuexin		binggu_xuexin		binggu_xuexin		binggu_xuexin		binggu_xuexin		binggu_xuexin		binggu_xuexin		binggu_xuexin		binggu_xuexin		binggu_xuexin		binggu_xuexin		binggu_xuexin		binggu_xuexin		binggu_xuexin		binggu_xuexin		Néi c«ng chÝ cao, dïng b¨ng baov©y khiÕn ®èi ph­¬ng kh«ng thÓ xoay së.
C¸i Bang Bæng ph¸p	Hç trî bÞ ®éng	115	703	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_gf.spr				0	0	3	0	0	0	0	0	4	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	2	0	0	0	0		0					1	0	0	-1	1	\script\skill\gaibang.lua	addphysicsdamage_p	gaibang_bangfa	deadlystrikeenhance_p	gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		gaibang_bangfa		T¨ng hiÖu qu¶ sö dông ®ao.
C¸i Bang Ch­ëng Ph¸p	Hç trî bÞ ®éng	116	704	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_aq.spr				0	0	3	0	0	0	0	0	4	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\gaibang.lua	addfiremagic_v	gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		gaibang_zhangfa		T¨ng hiÖu qu¶ c«ng kÝch tay kh«ng.
§Çu Th¹ch VÊn Lé 	C«ng kÝch néi c«ng 	117		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_01.spr		\sound\skill\sound_k001.wav	\sound\skill\sound_k006.wav	0	0	0	0	280	0	0	0	4	1	44	0	1	1	11	0	0	5	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					0	0	0	-1	1	\script\skill\gaibang.lua	physicsdamage_v		firedamage_v		skill_cost_v																																					Vâ c«ng nhËp m«n, chØ dïng ®Ó th¨m dß h­ thùc cña ®èi ph­¬ng.
C« Méc §én L«i 	Hç trî phßng ngù - chñ ®éng	118		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_02.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	2	0	400	0	0	0	4	6	49	0	1	1	11	0	0	5	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\gaibang.lua	lightingres_p		skill_cost_v																																							C¸i Bang tuyÖt kü, t¨ng kh¶ n¨ng phßng L«i.
Diªn M«n Th¸c B¸t	C«ng kÝch ngo¹i c«ng  	119	701	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_11.spr		\sound\skill\sound_k002.wav	\sound\skill\sound_k007.wav	0	0	0	0	240	0	0	0	4	1	45	0	1	1	11	0	0	5	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	2	0	0	0	0		0					0	0	0	3	1	\script\skill\gaibang.lua	physicsenhance_p	yanmen_tuobo	firedamage_v	yanmen_tuobo	addskilldamage1	yanmen_tuobo	missle_speed_v	yanmen_tuobo	skill_attackradiu	yanmen_tuobo	skill_cost_v	yanmen_tuobo	seriesdamage_p	yanmen_tuobo	addskilldamage2	yanmen_tuobo		yanmen_tuobo		yanmen_tuobo		yanmen_tuobo		yanmen_tuobo		yanmen_tuobo		yanmen_tuobo		yanmen_tuobo		yanmen_tuobo		yanmen_tuobo		yanmen_tuobo		yanmen_tuobo		yanmen_tuobo		Bæng ph¸p nhËp m«n, c«ng kÝch ®èi ph­¬ng ®¬n lÎ.
B«n L­u §¸o H¶i	Hç trî phßng ngù - chñ ®éng	120		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_12.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	2	0	400	0	0	0	4	6	50	0	1	1	11	0	0	5	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\gaibang.lua	fireres_p		skill_cost_v																																							C¸i Bang tuyÖt kü, t¨ng kh¶ n¨ng phßng háa.
DiÖu Thñ Kh«ng Kh«ng		121		2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_13.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	2	0	180	0	0	0	4	6	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\gaibang.lua	skill_cost_v																																									Cã thÓ lÊy trém vËt phÈm trong ng­êi ®èi ph­¬ng.
KiÕn Nh©n ThÇn Thñ 	C«ng kÝch néi c«ng 	122	702	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_21.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr	\sound\skill\sound_k003.wav	\sound\skill\sound_k008.wav	0	0	0	0	300	0	0	0	4	1	46	0	1	1	11	0	0	5	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	1	0	0	0		0					0	0	0	3	1	\script\skill\gaibang.lua	firedamage_v	jianren_shenshou	addskilldamage1	jianren_shenshou	missle_speed_v	jianren_shenshou	skill_attackradius	jianren_shenshou	skill_cost_v	jianren_shenshou	seriesdamage_p	jianren_shenshou	addskilldamage2	jianren_shenshou		jianren_shenshou		jianren_shenshou		jianren_shenshou		jianren_shenshou		jianren_shenshou		jianren_shenshou		jianren_shenshou		jianren_shenshou		jianren_shenshou		jianren_shenshou		jianren_shenshou		jianren_shenshou		jianren_shenshou		Ch­ëng Ph¸p nhËp m«n, s¸t th­¬ng ®èi thñ ®¬n lÎ.
Khuª Méc Tinh ChiÕu	Hç trî phßng ngù - chñ ®éng	123		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_22.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	2	0	400	0	0	0	4	6	51	0	1	1	11	0	0	5	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\gaibang.lua	poisonres_p		skill_cost_v																																							C¸i Bang tuyÖt kü, t¨ng kh¶ n¨ng phßng ®éc.
§¶ CÈu bæng	Vßng trßn  hç trî c«ng kÝch	124	703	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_23.spr				44	0	2	0	180	0	0	0	4	7	0	1	1	0	11	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\gaibang.lua	addphysicsdamage_p	dagou_zhen	skill_cost_v	dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		dagou_zhen		C¸i Bang tuyÖt kü, t¨ng hiÖu qu¶ c«ng kÝch Bæng ph¸p
Bæng §¶ ¸c CÈu	C«ng kÝch ngo¹i c«ng  	125	701	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_31.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr	\sound\skill\sound_k004.wav	\sound\skill\sound_k009.wav	0	0	0	0	72	0	0	5	4	3	47	0	16	1	11	0	0	5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	2	1	0	0	0		0					0	0	0	3	1	\script\skill\gaibang.lua	physicsenhance_p	bangda_egou	firedamage_v	bangda_egou	addskilldamage1	bangda_egou	missle_speed_v	bangda_egou	skill_attackradius	bangda_egou	skill_cost_v	bangda_egou	seriesdamage_p	bangda_egou		bangda_egou		bangda_egou		bangda_egou		bangda_egou		bangda_egou		bangda_egou		bangda_egou		bangda_egou		bangda_egou		bangda_egou		bangda_egou		bangda_egou		bangda_egou		Oao cÊp chiªu thøc, biÕn hãa kh«n l­êng.
Kim ¤ ¸nh TuyÕt	Hç trî phßng ngù - chñ ®éng	126		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_32.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	2	0	400	0	0	0	4	6	52	1	1	1	11	0	0	5	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	40	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\gaibang.lua	coldres_p		skill_cost_v																																							C¸i Bang tuyÖt kü, t¨ng kh¶ n¨ng phßng b¨ng.
Ho¹t BÊt L­u Thñ 11	Chñ ®éng hç trî chiÕn ®Êu	127		0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_33.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	2	0	0	0	0	0	4	6	0	0	0	0	11	0	0	5	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\gaibang.lua	fastwalkrun_p	huabu_liushou	skill_cost_v	huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		huabu_liushou		C¸i Bang tuyÖt kü, tù t¨ng tèc ®é di chuyÓn
Kh¸ng Long H÷u Hèi	C«ng kÝch néi c«ng 	128	702	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_41.spr	\spr\skill\ÌìÈÌ\mag_bz_huo3_±¬Õ¨Ð§¹û.spr	\sound\skill\sound_k005.wav	\sound\skill\sound_k010.wav	0	0	0	0	400	0	0	0	4	2	48	0	8	1	11	0	0	5	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	20	-2	1	0	0	3		1					0	0	0	3	1	\script\skill\gaibang.lua	firedamage_v	kanglong_youhui	addskilldamage1	kanglong_youhui	missle_speed_v	kanglong_youhui	skill_attackradius	kanglong_youhui	skill_cost_v	kanglong_youhui	seriesdamage_p	kanglong_youhui	skill_param1_v	kanglong_youhui	skill_misslenum_v	kanglong_youhui		kanglong_youhui		kanglong_youhui		kanglong_youhui		kanglong_youhui		kanglong_youhui		kanglong_youhui		kanglong_youhui		kanglong_youhui		kanglong_youhui		kanglong_youhui		kanglong_youhui		kanglong_youhui		Chiªu thøc cao cÊp, C¸i Bang bang chñ nhê nã mµ vang danh thiªn h¹.
Hãa HiÓm Vi Di	Hç trî phßng ngù - chñ ®éng	129	700	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_42.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			0	0	3	0	400	0	0	0	4	7	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\gaibang.lua	meleedamagereturn_p	huaxian_weiyi	adddefense_v	huaxian_weiyi		huaxian_weiyi		huaxian_weiyi		huaxian_weiyi		huaxian_weiyi		huaxian_weiyi		huaxian_weiyi		huaxian_weiyi		huaxian_weiyi		huaxian_weiyi		huaxian_weiyi		huaxian_weiyi		huaxian_weiyi		huaxian_weiyi		huaxian_weiyi		huaxian_weiyi		huaxian_weiyi		huaxian_weiyi		huaxian_weiyi		C¸i Bang tuyÖt kü, t¨ng kh¶ n¨ng di chuyÓn chiÕn ®Êu.
Tóy §iÖp Cuång Vò 	Hç trî phßng ngù - chñ ®éng	130	9999	2	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_gb_43.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr			43	0	2	0	0	0	0	0	4	7	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	60	30	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\gaibang.lua	allres_p	zuidie_kuangwu	addfiremagic_v	zuidie_kuangwu	addfiredamage_v	zuidie_kuangwu	deadlystrikeenhance_p	zuidie_kuangwu	skill_cost_v	zuidie_kuangwu		zuidie_kuangwu		zuidie_kuangwu		zuidie_kuangwu		zuidie_kuangwu		zuidie_kuangwu		zuidie_kuangwu		zuidie_kuangwu		zuidie_kuangwu		zuidie_kuangwu		zuidie_kuangwu		zuidie_kuangwu		zuidie_kuangwu		zuidie_kuangwu		zuidie_kuangwu		zuidie_kuangwu		C¸i Bang mËt kü, cã thÓ t¨ng tÊt c¶ kh¸ng tÝnh.
Thiªn NhÉn  §ao ph¸p	Hç trî bÞ ®éng	131	805	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_df.spr				0	0	3	0	0	0	0	0	4	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\tianren.lua	addfiremagic_v	tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		tianren_daofa		T¨ng hiÖu qu¶ sö dông ®ao.
Thiªn NhÉn  M©u ph¸p	Hç trî bÞ ®éng	132	804	3	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_mf.spr				0	0	3	0	0	0	0	0	4	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	3	0	0	0	0		0					1	0	0	-1	1	\script\skill\tianren.lua	addphysicsdamage_p	tianren_maofa	attackratingenhance_p	tianren_maofa	deadlystrikeenhance_p	tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		tianren_maofa		T¨ng hiÖu qu¶ sö dông KÝch.
Thiªn NhÉn  phñ ph¸p (##) 	Hç trî bÞ ®éng	133		3	\spr\Ui\¼¼ÄÜÍ¼±ê\µ¶·¨.spr				0	0	3	0	0	0	0	0	4	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\tianren.lua																																										T¨ng hiÖu qu¶ sö dông ®ao.
Thiªn NhÉn  Chïy ph¸p 	Hç trî bÞ ®éng	134		3	\spr\Ui\¼¼ÄÜÍ¼±ê\Ë«´¸Ì×Â·.spr				0	0	3	0	0	0	0	0	4	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\tianren.lua	addphysicsdamage_p		attackratingenhance_p		deadlystrikeenhance_p																																					
Tµn D­¬ng Nh­ HuyÕt	C«ng kÝch néi c«ng 	135	801	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_01.spr		\sound\skill\sound_k015.wav	\sound\skill\sound_k015.wav	0	0	0	0	270	0	0	0	4	1	54	0	1	1	11	0	0	5	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	3	0	0	0	0		0					0	0	0	3	1	\script\skill\tianren.lua	physicsenhance_p	canyang_ruxue	firedamage_v	canyang_ruxue	addskilldamage1	canyang_ruxue	missle_speed_v	canyang_ruxue	skill_attackradius	canyang_ruxue	skill_cost_v	canyang_ruxue	seriesdamage_p	canyang_ruxue	addskilldamage2	canyang_ruxue		canyang_ruxue		canyang_ruxue		canyang_ruxue		canyang_ruxue		canyang_ruxue		canyang_ruxue		canyang_ruxue		canyang_ruxue		canyang_ruxue		canyang_ruxue		canyang_ruxue		canyang_ruxue		Vâ c«ng nhËp m«n, s¸t th­¬ng cïng lóc nhiÒu ®èi thñ.
Háa Liªn PhÇn Hoa	Chñ ®éng hç trî chiÕn ®Êu	136	803	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_02.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr	\sound\skill\sound_k015.wav	\sound\skill\sound_k015.wav	22	0	2	0	440	0	0	0	4	6	20	0	1	1	11	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	-2	0	0	0	0		0					1	0	0	-1	1	\script\skill\tianren.lua	meleedamagereturn_p	huolian_fenhua	skill_cost_v	huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		huolian_fenhua		Thiªn NhÉn  tuyÖt kü, lµm gi¶m kh¶ n¨ng ph¶n ®ßn cña ®èi ph­¬ng 
¶o ¶nh Phi Hå 	Hç trî phßng ngù - chñ ®éng	137	803	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_03.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr	\sound\skill\sound_k015.wav	\sound\skill\sound_k015.wav	26	0	2	0	440	0	0	0	4	6	20	0	1	1	11	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	20	-2	0	0	0	0		0					1	0	0	3	1	\script\skill\tianren.lua	attackratingenhance_p	huanying_feihu	skill_cost_v	huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		huanying_feihu		Thiªn NhÉn  dÞ thuËt, lµm gi¶m kh¶ n¨ng chiÕn ®Êu cña ®èi ph­ong
Th«i s¬n  §iÒn H¶i	C«ng kÝch néi c«ng 	138	802	0	\spr\Ui\¼¼ÄÜÍ¼±ê\icon_sk_tr_07.spr	\spr\skill\ÌìÈÌ\mag_tr_16_Ê©Ä§·¨.spr	\sound\skill\sound_k015.wav	\sound\skill\sound_k015.wav	0	0	0	0	400	0	5	5	4	0	55	1	10	1	11	0	0	10	0	0	0	40	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	20	-2	1	10	0	64		0					0	0	0	3	1	\script\skill\tianren.lua	firedamage_v	tuishan_tianhai	addskilldamage1	tuishan_tianhai	skill_cost_v	tuishan_tianhai	seriesdamage_p	tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		tuishan_tianhai		Thiªn NhÉn  trung cÊp chiªu thøc, t¨ng hiÖu qu¶ Ho¶ s¸t 
